"","TV","Radio","Newspaper","Sales"
"1",230.1,37.8,69.2,22.1
"2",44.5,39.3,45.1,10.4
"3",17.2,45.9,69.3,9.3
"4",151.5,41.3,58.5,18.5
"5",180.8,10.8,58.4,12.9
"6",8.7,48.9,75,7.2
"7",57.5,32.8,23.5,11.8
"8",120.2,19.6,11.6,13.2
"9",8.6,2.1,1,4.8
"10",199.8,2.6,21.2,10.6
"11",66.1,5.8,24.2,8.6
"12",214.7,24,4,17.4
"13",23.8,35.1,65.9,9.2
"14",97.5,7.6,7.2,9.7
"15",204.1,32.9,46,19
"16",195.4,47.7,52.9,22.4
"17",67.8,36.6,114,12.5
"18",281.4,39.6,55.8,24.4
"19",69.2,20.5,18.3,11.3
"20",147.3,23.9,19.1,14.6
"21",218.4,27.7,53.4,18
"22",237.4,5.1,23.5,12.5
"23",13.2,15.9,49.6,5.6
"24",228.3,16.9,26.2,15.5
"25",62.3,12.6,18.3,9.7
"26",262.9,3.5,19.5,12
"27",142.9,29.3,12.6,15
"28",240.1,16.7,22.9,15.9
"29",248.8,27.1,22.9,18.9
"30",70.6,16,40.8,10.5
"31",292.9,28.3,43.2,21.4
"32",112.9,17.4,38.6,11.9
"33",97.2,1.5,30,9.6
"34",265.6,20,0.3,17.4
"35",95.7,1.4,7.4,9.5
"36",290.7,4.1,8.5,12.8
"37",266.9,43.8,5,25.4
"38",74.7,49.4,45.7,14.7
"39",43.1,26.7,35.1,10.1
"40",228,37.7,32,21.5
"41",202.5,22.3,31.6,16.6
"42",177,33.4,38.7,17.1
"43",293.6,27.7,1.8,20.7
"44",206.9,8.4,26.4,12.9
"45",25.1,25.7,43.3,8.5
"46",175.1,22.5,31.5,14.9
"47",89.7,9.9,35.7,10.6
"48",239.9,41.5,18.5,23.2
"49",227.2,15.8,49.9,14.8
"50",66.9,11.7,36.8,9.7
"51",199.8,3.1,34.6,11.4
"52",100.4,9.6,3.6,10.7
"53",216.4,41.7,39.6,22.6
"54",182.6,46.2,58.7,21.2
"55",262.7,28.8,15.9,20.2
"56",198.9,49.4,60,23.7
"57",7.3,28.1,41.4,5.5
"58",136.2,19.2,16.6,13.2
"59",210.8,49.6,37.7,23.8
"60",210.7,29.5,9.3,18.4
"61",53.5,2,21.4,8.1
"62",261.3,42.7,54.7,24.2
"63",239.3,15.5,27.3,15.7
"64",102.7,29.6,8.4,14
"65",131.1,42.8,28.9,18
"66",69,9.3,0.9,9.3
"67",31.5,24.6,2.2,9.5
"68",139.3,14.5,10.2,13.4
"69",237.4,27.5,11,18.9
"70",216.8,43.9,27.2,22.3
"71",199.1,30.6,38.7,18.3
"72",109.8,14.3,31.7,12.4
"73",26.8,33,19.3,8.8
"74",129.4,5.7,31.3,11
"75",213.4,24.6,13.1,17
"76",16.9,43.7,89.4,8.7
"77",27.5,1.6,20.7,6.9
"78",120.5,28.5,14.2,14.2
"79",5.4,29.9,9.4,5.3
"80",116,7.7,23.1,11
"81",76.4,26.7,22.3,11.8
"82",239.8,4.1,36.9,12.3
"83",75.3,20.3,32.5,11.3
"84",68.4,44.5,35.6,13.6
"85",213.5,43,33.8,21.7
"86",193.2,18.4,65.7,15.2
"87",76.3,27.5,16,12
"88",110.7,40.6,63.2,16
"89",88.3,25.5,73.4,12.9
"90",109.8,47.8,51.4,16.7
"91",134.3,4.9,9.3,11.2
"92",28.6,1.5,33,7.3
"93",217.7,33.5,59,19.4
"94",250.9,36.5,72.3,22.2
"95",107.4,14,10.9,11.5
"96",163.3,31.6,52.9,16.9
